"VP","VN","FP","FN"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
"18","37","0","0"
